Town,State,ZipCode,System Code,Utility Name,Contaminant Name,Potential Effect,Times Above Guideline,Utility Level,PFAS Name,Detects Samples,Percent Detected,Range,Dates,Proposed Limit
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Arsenic,Potential Effect: cancer,"1,075x",4.30 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Bromodichloromethane,Potential Effect: cancer,4.4x,0.264 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Dibromoacetic acid,Potential Effect:,4.2x,0.167 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Dibromochloromethane,Potential Effect: cancer,6.5x,0.655 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,"Radium, combined (-226 & -228)",Potential Effect: cancer,53x,2.63 pCi/L,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Total trihalomethanes (TTHMs)†,Potential Effect: cancer,11x,1.60 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Barium,Unknown,Unknown,200.5 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Bromoform,Unknown,Unknown,0.445 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Fluoride,Unknown,Unknown,0.300 ppm,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Haloacetic acids (HAA5)†,Unknown,Unknown,0.167 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Manganese,Unknown,Unknown,15.3 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Nitrate,Unknown,Unknown,0.00286 ppm,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Selenium,Unknown,Unknown,1.50 ppb,,,,,,
HOUSTON,TX,77027-7597,TX1012315,Nottingham Country Municipal Utility District,Uranium,Unknown,Unknown,0.40 pCi/L,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Arsenic,Potential Effect: cancer,288x,1.15 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Bromochloroacetic acid,Potential Effect:,297x,5.94 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Bromodichloromethane,Potential Effect: cancer,127x,7.62 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Chloroform,Potential Effect: cancer,41x,16.4 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Dibromoacetic acid,Potential Effect:,39x,1.55 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Dibromochloromethane,Potential Effect: cancer,24x,2.36 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Dichloroacetic acid,Potential Effect: cancer,89x,17.9 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Haloacetic acids (HAA5)†,Potential Effect: cancer,252x,25.2 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Nitrate,Potential Effect: cancer,3.8x,0.535 ppm,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Nitrate and nitrite,Potential Effect: cancer,2.9x,0.410 ppm,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,"Radium, combined (-226 & -228)",Potential Effect: cancer,62x,3.10 pCi/L,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Total trihalomethanes (TTHMs)†,Potential Effect: cancer,177x,26.6 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Trichloroacetic acid,Potential Effect: cancer,49x,4.90 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Aluminum,Unknown,Unknown,12.4 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Atrazine,Unknown,Unknown,0.0850 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Barium,Unknown,Unknown,86.6 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Bromoform,Unknown,Unknown,0.104 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Fluoride,Unknown,Unknown,0.400 ppm,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Hexadecanoic acid,Unknown,Unknown,2.80 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Manganese,Unknown,Unknown,7.00 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Monochloroacetic acid,Unknown,Unknown,0.913 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Simazine,Unknown,Unknown,0.0667 ppb,,,,,,
HOUSTON,TX,77027-7537,TX1012330,Harris County Municipal Utility District 264,Uranium,Unknown,Unknown,0.74 pCi/L,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,Arsenic,Potential Effect: cancer,380x,1.52 ppb,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,Bromodichloromethane,Potential Effect: cancer,35x,2.13 ppb,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,Chloroform,Potential Effect: cancer,13x,5.06 ppb,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,Dibromochloromethane,Potential Effect: cancer,5.6x,0.561 ppb,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,Nitrate,Potential Effect: cancer,2.2x,0.302 ppm,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,Nitrate and nitrite,Potential Effect: cancer,2.1x,0.300 ppm,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,"Radium, combined (-226 & -228)",Potential Effect: cancer,71x,3.56 pCi/L,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,Total trihalomethanes (TTHMs)†,Potential Effect: cancer,12x,1.87 ppb,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,Aldrin,Unknown,Unknown,0.01000 ppb,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,Aluminum,Unknown,Unknown,4.82 ppb,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,Atrazine,Unknown,Unknown,0.112 ppb,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,Barium,Unknown,Unknown,119.8 ppb,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,Bromoform,Unknown,Unknown,0.294 ppb,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,Cyanide,Unknown,Unknown,62.5 ppb,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,Fluoride,Unknown,Unknown,0.293 ppm,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,Manganese,Unknown,Unknown,10.3 ppb,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,Metolachlor,Unknown,Unknown,0.0109 ppb,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,Nitrite,Unknown,Unknown,0.00500 ppm,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,Simazine,Unknown,Unknown,0.0464 ppb,,,,,,
HOUSTON,TX,77056-6145,TX1012361,Harris County Municipal Utility District 238,Xylenes (total),Unknown,Unknown,0.0500 ppb,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Bromochloroacetic acid,Potential Effect:,319x,6.37 ppb,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Bromodichloromethane,Potential Effect: cancer,142x,8.52 ppb,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Chloroform,Potential Effect: cancer,46x,18.2 ppb,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Dibromoacetic acid,Potential Effect:,46x,1.84 ppb,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Dibromochloromethane,Potential Effect: cancer,29x,2.88 ppb,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Dichloroacetic acid,Potential Effect: cancer,94x,18.7 ppb,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Haloacetic acids (HAA5)†,Potential Effect: cancer,269x,26.9 ppb,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Nitrate,Potential Effect: cancer,2.8x,0.398 ppm,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Nitrate and nitrite,Potential Effect: cancer,8.6x,1.21 ppm,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,"Radium, combined (-226 & -228)",Potential Effect: cancer,30x,1.50 pCi/L,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Total trihalomethanes (TTHMs)†,Potential Effect: cancer,214x,32.1 ppb,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Trichloroacetic acid,Potential Effect: cancer,60x,5.98 ppb,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Atrazine,Unknown,Unknown,0.0771 ppb,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Barium,Unknown,Unknown,91.5 ppb,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Bromacil,Unknown,Unknown,0.0143 ppb,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Bromoform,Unknown,Unknown,0.348 ppb,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Cyanide,Unknown,Unknown,20.0 ppb,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Fluoride,Unknown,Unknown,0.398 ppm,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Manganese,Unknown,Unknown,7.19 ppb,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Monochloroacetic acid,Unknown,Unknown,0.310 ppb,,,,,,
ROSENBURG,TX,77471-5654,TX1012370,Harris County Water Control and Improvement District 89,Simazine,Unknown,Unknown,0.0271 ppb,,,,,,
HOUSTON,TX,77010-3095,TX1012378,Cypress Hill Municipal Utility District 1,Arsenic,Potential Effect: cancer,742x,2.97 ppb,,,,,,
HOUSTON,TX,77010-3095,TX1012378,Cypress Hill Municipal Utility District 1,Bromodichloromethane,Potential Effect: cancer,21x,1.29 ppb,,,,,,
HOUSTON,TX,77010-3095,TX1012378,Cypress Hill Municipal Utility District 1,Bromoform,Potential Effect: cancer,4x,1.99 ppb,,,,,,
HOUSTON,TX,77010-3095,TX1012378,Cypress Hill Municipal Utility District 1,Dibromoacetic acid,Potential Effect:,4.3x,0.171 ppb,,,,,,
HOUSTON,TX,77010-3095,TX1012378,Cypress Hill Municipal Utility District 1,Dibromochloromethane,Potential Effect: cancer,25x,2.47 ppb,,,,,,
HOUSTON,TX,77010-3095,TX1012378,Cypress Hill Municipal Utility District 1,Nitrate,Potential Effect: cancer,3.7x,0.520 ppm,,,,,,
HOUSTON,TX,77010-3095,TX1012378,Cypress Hill Municipal Utility District 1,Nitrate and nitrite,Potential Effect: cancer,5.5x,0.770 ppm,,,,,,
HOUSTON,TX,77010-3095,TX1012378,Cypress Hill Municipal Utility District 1,Total trihalomethanes (TTHMs)†,Potential Effect: cancer,17x,2.60 ppb,,,,,,
HOUSTON,TX,77010-3095,TX1012378,Cypress Hill Municipal Utility District 1,Barium,Unknown,Unknown,186.3 ppb,,,,,,
HOUSTON,TX,77010-3095,TX1012378,Cypress Hill Municipal Utility District 1,Chloroform,Unknown,Unknown,0.389 ppb,,,,,,
HOUSTON,TX,77010-3095,TX1012378,Cypress Hill Municipal Utility District 1,Ethylbenzene,Unknown,Unknown,0.282 ppb,,,,,,
HOUSTON,TX,77010-3095,TX1012378,Cypress Hill Municipal Utility District 1,Fluoride,Unknown,Unknown,0.927 ppm,,,,,,
HOUSTON,TX,77010-3095,TX1012378,Cypress Hill Municipal Utility District 1,Haloacetic acids (HAA5)†,Unknown,Unknown,0.171 ppb,,,,,,
HOUSTON,TX,77010-3095,TX1012378,Cypress Hill Municipal Utility District 1,Manganese,Unknown,Unknown,1.03 ppb,,,,,,
HOUSTON,TX,77010-3095,TX1012378,Cypress Hill Municipal Utility District 1,Methyl isobutyl ketone,Unknown,Unknown,1.50 ppb,,,,,,
HOUSTON,TX,77010-3095,TX1012378,Cypress Hill Municipal Utility District 1,Selenium,Unknown,Unknown,1.20 ppb,,,,,,
HOUSTON,TX,77010-3095,TX1012378,Cypress Hill Municipal Utility District 1,Uranium,Unknown,Unknown,0.51 pCi/L,,,,,,
HOUSTON,TX,77010-3095,TX1012378,Cypress Hill Municipal Utility District 1,Xylenes (total),Unknown,Unknown,2.43 ppb,,,,,,
HOUSTON,TX,77056-3078,TX1012392,Harris County Municipal Utility District 239,Arsenic,Potential Effect: cancer,"1,225x",4.90 ppb,,,,,,
HOUSTON,TX,77056-3078,TX1012392,Harris County Municipal Utility District 239,Bromochloroacetic acid,Potential Effect:,120x,2.41 ppb,,,,,,
HOUSTON,TX,77056-3078,TX1012392,Harris County Municipal Utility District 239,Bromodichloromethane,Potential Effect: cancer,59x,3.52 ppb,,,,,,
HOUSTON,TX,77056-3078,TX1012392,Harris County Municipal Utility District 239,Chloroform,Potential Effect: cancer,13x,5.36 ppb,,,,,,
HOUSTON,TX,77056-3078,TX1012392,Harris County Municipal Utility District 239,Dibromoacetic acid,Potential Effect:,27x,1.09 ppb,,,,,,
HOUSTON,TX,77056-3078,TX1012392,Harris County Municipal Utility District 239,Dibromochloromethane,Potential Effect: cancer,17x,1.72 ppb,,,,,,
HOUSTON,TX,77056-3078,TX1012392,Harris County Municipal Utility District 239,Dichloroacetic acid,Potential Effect: cancer,32x,6.43 ppb,,,,,,
HOUSTON,TX,77056-3078,TX1012392,Harris County Municipal Utility District 239,Haloacetic acids (HAA5)†,Potential Effect: cancer,95x,9.53 ppb,,,,,,
HOUSTON,TX,77056-3078,TX1012392,Harris County Municipal Utility District 239,Nitrate and nitrite,Potential Effect: cancer,7.9x,1.10 ppm,,,,,,
HOUSTON,TX,77056-3078,TX1012392,Harris County Municipal Utility District 239,"Radium, combined (-226 & -228)",Potential Effect: cancer,62x,3.10 pCi/L,,,,,,
HOUSTON,TX,77056-3078,TX1012392,Harris County Municipal Utility District 239,Total trihalomethanes (TTHMs)†,Potential Effect: cancer,54x,8.11 ppb,,,,,,
HOUSTON,TX,77056-3078,TX1012392,Harris County Municipal Utility District 239,Trichloroacetic acid,Potential Effect: cancer,20x,2.02 ppb,,,,,,
HOUSTON,TX,77056-3078,TX1012392,Harris County Municipal Utility District 239,Uranium,Potential Effect: cancer,2x,0.87 pCi/L,,,,,,
